 Pos,Team,Matches,Points,Rating
1,India,69,18445,267
2,England,50,13205,264
3,Pakistan,55,14168,258
4,South Africa,41,10510,256
5,New Zealand,53,13371,252
6,Australia,47,11784,251
7,West Indies,51,12039,236
8,Sri Lanka,53,12485,236
9,Bangladesh,52,11640,224
10,Afghanistan,33,7112,216
11,Zimbabwe,49,9597,196
12,Ireland,57,10818,190
13,UAE,32,5898,184
14,Namibia,32,5846,183
15,Scotland,24,4373,182
16,Nepal,30,5387,180
17,Netherlands,32,5668,177
18,Oman,26,4090,157
19,PNG,24,3495,146
20,Canada,24,3297,137
21,Hong Kong,22,2878,131
22,Qatar,17,2169,128
23,Jersey,23,2924,127
24,Uganda,46,5648,123
25,USA,16,1908,119
26,Kuwait,20,2293,115
27,Malaysia,35,3976,114
28,Kenya,31,3272,106
29,Bahrain,31,3208,103
30,Singapore,28,2861,102
31,Tanzania,36,3598,100
32,Italy,19,1818,96
33,Saudi Arabia,13,1234,95
34,Bermuda,18,1671,93
35,Germany,34,2996,88
36,Spain,26,2267,87
37,Denmark,21,1518,72
38,Guernsey,17,1194,70
39,Cayman Islands,12,814,68
40,Belgium,20,1349,67
41,Nigeria,29,1952,67
42,Austria,26,1686,65
43,Vanuatu,11,645,59
44,Portugal,11,644,59
45,Romania,24,1359,57
46,Isle of Man,15,847,56
47,Botswana,18,992,55
48,Norway,17,897,53
49,Finland,17,892,52
50,France,9,470,52
51,Malawi,17,818,48
52,Sweden,16,690,43
53,Cook Islands,6,245,41
54,Czech Republic,28,1137,41
55,Argentina,15,604,40
56,Indonesia,7,265,38
57,Switzerland,11,396,36
58,Malta,33,1179,36
59,Ghana,23,813,35
60,Sierra Leone,17,586,34
61,Japan,7,236,34
62,Luxembourg,23,774,34
63,Mozambique,23,721,31
64,Bhutan,8,239,30
65,Fiji,6,177,30
66,Rwanda,34,918,27
67,Cyprus,11,283,26
68,Bahamas,15,359,24
69,Hungary,16,358,22
70,Panama,10,222,22
71,Belize,6,132,22
72,Serbia,17,184,11
73,Bulgaria,34,296,9
74,Gambia,7,50,7
75,Lesotho,12,82,7
76,Maldives,15,81,5
77,Samoa,8,42,5
78,Gibraltar,21,68,3
79,Greece,9,27,3
80,Turkey,6,0,0
81,Thailand,10,0,0
82,Eswatini,18,0,0
83,Seychelles,10,0,0
84,Estonia,12,0,0
85,Cameroon,13,0,0
